"Names","Clubs","GP","GS","MP","W","D","L","GA","SOG","S","SV","CS","YC","RC"
" Ter Stegen Marc-Andre M.","BAR",37,37,3330,27,9,1,28,129,422,98,19,0,0
" Oblak Jan J.","ATL",37,37,3330,22,10,5,22,130,436,106,22,1,0
" Neto","VAL",33,33,2970,18,7,8,33,143,424,110,10,2,0
" Navas Keylor K.","RMD",27,27,2430,16,7,4,31,113,288,80,7,1,0
" Pacheco Fernando F.","ALA",38,37,3357,15,2,20,50,172,524,121,12,2,0
" Adan","BET",30,30,2700,14,4,12,53,136,384,83,9,4,0
" Dmitrovic Marko M.","EIB",36,36,3240,13,8,15,49,123,290,75,10,1,0
" Guaita","GET",33,33,2970,13,9,11,26,111,335,85,12,1,0
" Bounou Yassine Y.","GIR",30,30,2655,13,6,11,46,143,340,95,9,2,0
" Asenjo Sergio S.","VIL",23,23,2070,12,3,8,30,95,304,63,6,3,0
" Cuellar Ivan I.","LGN",35,35,3150,11,7,17,43,144,388,97,14,4,0
" Ruben","CEL",22,22,1942,10,4,8,31,87,257,56,4,3,1
" Rulli Geronimo G.","RSO",26,26,2340,10,5,11,45,108,262,59,6,3,0
" Rico Sergio S.","SEV",24,23,2155,10,4,10,39,94,297,53,9,2,0
" Lopez Pau P.","ESP",29,28,2566,9,9,11,31,127,369,94,9,3,0
" Olazabal Oier O.","LEV",26,26,2340,9,7,10,39,123,379,86,7,2,0
" Arrizabalaga Kepa K.","ATH",30,30,2700,7,9,14,43,136,370,96,7,4,0
" Soria David D.","SEV",15,15,1265,7,3,4,19,60,177,40,5,1,0
" Casilla Kiko K.","RMD",10,10,900,6,2,2,11,31,92,19,3,0,0
" Barbosa","VIL",13,12,1125,6,3,3,14,50,177,35,5,0,0
" Roberto","MAG",34,34,3060,5,5,24,51,149,404,97,6,0,0
" Domenech Jaume J.","VAL",5,5,450,4,0,1,5,21,62,16,2,2,0
" Chichizola Leandro L.","LP",27,27,2430,4,5,18,47,153,369,103,4,2,0
" Alvarez Sergio S.","CEL",17,16,1474,3,6,7,29,76,193,46,3,0,0
" Lopez Diego D.","ESP",10,10,854,3,4,2,11,41,117,31,3,1,0
" Gimenez Dani D.","BET",4,4,309,3,0,0,0,8,20,7,3,0,0
" Moya","RSO",9,9,765,3,2,4,8,34,93,25,2,0,0
" Herrerin Iago I.","ATH",8,8,720,3,4,1,6,30,95,24,4,0,0
" Martinez Ruben R.","DEP",28,27,2477,3,10,15,58,135,382,79,4,3,0
" Pantilimon Costel C.",NA,6,6,540,3,0,3,9,26,76,18,1,0,0
" Fernandez Raul R.","LEV",11,11,990,2,6,3,15,53,140,37,3,0,0
" Martinez Emi E.","GET",5,5,450,2,1,2,7,19,48,12,2,0,0
" Riesgo Asier A.","EIB",1,1,90,1,0,0,1,5,16,4,0,0,0
" Iraizoz","GIR",9,8,765,1,3,4,13,36,88,25,2,1,0
" Cillessen Jasper J.","BAR",1,1,90,1,0,0,1,7,20,6,0,0,0
" Lizoain Raul R.","LP",11,11,990,1,2,8,27,67,163,39,1,0,0
" Tono","RSO",4,3,315,1,0,2,6,12,31,6,1,0,0
" Lopez Pedro P.","BET",5,4,411,1,2,2,8,16,49,8,0,0,0
" Serantes Jon Ander J.","LGN",1,1,90,1,0,0,2,8,16,6,0,0,0
" Werner Axel A.","ATL",1,1,90,1,0,0,0,3,7,3,1,0,0
" Yoel","EIB",1,1,90,0,1,0,0,5,16,5,1,0,0
" Prieto Andres A.","MAG",4,4,360,0,0,4,10,21,55,10,0,0,0
" Tyton Przemyslaw P.","DEP",2,1,97,0,0,1,4,5,16,1,0,0,0
" Zidane Luca L.","RMD",1,1,90,0,1,0,2,5,14,2,0,0,0
" Sivera Antonio A.","ALA",1,1,63,0,0,1,0,2,7,1,0,0,0
" Fernandez Andres A.","VIL",3,3,225,0,1,2,6,16,38,10,0,0,0
" Champagne Nereo N.","LGN",2,2,180,0,0,2,6,9,21,3,0,0,0
" Koke","LEV",1,1,90,0,0,1,4,9,20,4,0,0,0
" Uzoho Francis F.","DEP",2,2,180,0,1,1,2,8,25,6,1,0,0
" Koval Maksym M.","DEP",2,2,122,0,0,1,3,5,27,2,0,0,1
